index,center_x(column),center_y(row),radius,pixelvalue,pixelnum
0.0,412.0,190.0,10.0,74714.0,317.0
1.0,380.0,192.0,10.0,75298.0,317.0
2.0,328.0,205.0,10.0,74612.0,317.0
3.0,438.0,212.0,11.0,84962.0,377.0
4.0,357.0,220.0,10.0,73746.0,317.0
5.0,466.0,228.0,10.0,72887.0,317.0
6.0,386.0,234.0,10.0,74598.0,317.0
7.0,497.0,241.0,11.0,84344.0,377.0
8.0,415.0,247.0,10.0,75360.0,317.0
9.0,307.0,256.0,9.0,61269.0,253.0
10.0,340.0,258.0,10.0,75275.0,317.0
11.0,446.0,259.0,10.0,74528.0,317.0
12.0,370.0,269.0,10.0,76333.0,317.0
13.0,400.0,281.0,10.0,75880.0,317.0
14.0,430.0,296.0,10.0,73660.0,317.0
15.0,339.0,313.0,10.0,71593.0,317.0
16.0,370.0,323.0,10.0,69589.0,317.0
17.0,403.0,330.0,11.0,81666.0,377.0
18.0,436.0,337.0,11.0,79689.0,377.0
19.0,468.0,342.0,10.0,71059.0,317.0
20.0,334.0,349.0,10.0,70397.0,317.0
21.0,361.0,367.0,10.0,67960.0,317.0
22.0,393.0,384.0,10.0,72904.0,317.0
23.0,418.0,402.0,9.0,50245.0,253.0
